amanat,amanat_novel,artikata,bacaan,bagan,bagian_kalimat,bagian_penutup_surat,bagian_pidato,bagian_surat,berita,biografi,buku,buku_harian,catatan_buku_harian,catatan_harian,cerita,cerita_anak,cerita_novel,cerita_sinopsis,cermati_buku,cerpen,citra_puisi,citraan,citraan_dalam_puisi,contoh_slogan,daftar_pustaka,data_buku,dialog,dialog_drama,diskusi,disukusi,drama,eyd,fakta,fakta_berita,fakta_teks,fungsi_judul,gagasan_pokok,gagasan_pokok_paragaf,gagasan_utama,gagasan_utama_paragraf,garis_bawah,huruf_kapital_yang_tepat,ide_pokok,identifikasi,identifikasi_masalah,ikklan_baris,iklan,iklan_baris,ilustrasi,ilustrasi_buku_harian,ilustrasi_kalimat_rumpang,ilustrasi_teks,informasi_berita,infromasi_tabel,irama_puisi,isi_pesan_yang_tepat_pada_ilustrasi,isi_teks_pidato,istilah_kata,jenis_diskusi,jenis_konflik,judul,judul_laporan,kalima_tepat,kalimat,kalimat_efektif,kalimat_fakta,kalimat_fakta_dalam_iklan,kalimat_iklan_yang_sesuai,kalimat_laporan_yang_sesuai,kalimat_opini_dalam_iklan,kalimat_padu,kalimat_pembuka,kalimat_pengkap,kalimat_rumpang_pada_surat,kalimat_sumbang,kalimat_tanggapan,kalimat_tanya,kalimat_tidak_padu,kalimat_ulasan,kalimat_untuk_melengkapi_surat,kalimat_utama,kalimat_utama_paragraf,kamus,kamus_kecil,kapital,karakter_tokoh,karya_ilmiah,karya_tulis,kata_bentukan,kata_bercetak_miring,kata_pelengkap,kata_sambutan,kata_sapaan,kata_tanggapan,kedua_teks,kelebihan_buku,kesamaan_berita,kesamaan_teks,komunikasi,konflik_cerita,konflik_drama,konflik_teks,koran,kritikan,kritikan_teks,kutipan,kutipan_berita,kutipan_biografi,kutipan_cerita,kutipan_cerpen,kutipan_drama,kutipan_isi_surat,kutipan_novel,kutipan_pesan,kutipan_pidato,kutipan_puisi,kutipan_surat,kutipan_teks,langkah_langkah,laporan,laporan_sistematis,larik,larik_pantun,larik_puisi,latar,latar_drama,latar_kutipan_drama,latar_percakapan,latar_suasana,latar_suasana_dalam_cerpen,latar_tempat,latar_waktu,majas,masalah_novel,media_berita,melengkapi_kalimat_rumpang,melengkapi_kalimat_yang_tepat_pada_surat,melengkapi_surat_pembaca,melengkapi_surat_penutup,membuat_laporan,membuat_slogan,memo,mencari_persamaan_dalam_berita,mencermati_teks_bacaan,menemukan_masalah_pada_novel,mengidentifikasi_kalimat,mengisi_bagian_rumpang_dalam_pesan_singkat,mengisi_teks_pengumuman_yang_sesuai,menulis_biografi,menulis_laporan,menulis_petunjuk,menulis_puisi,menulis_slogan,model_kooperatif,naskah_drama,novel,opini,opini_berita,padu,pahlawan,pantun,paragraf,paragraf_padu,paragraf_pengantar,pemodelan_teks_diskusi,pendapat,penggalan_puisi,penggalan_suasana_dalam_puisi,penggunaan_kata,pengumuman,penokohan,penulisan_daftar_pustaka,penulisan_huruf_kapital,penulisan_kalimat,penutup_surat,penyajian_berita,perbaikan_kalimat,perbaikan_paragraf,perbaikan_pidato,perbaikan_suat,perbedaan_berita,perbedaan_konflik_pada_novel,perbedaan_kutipan,perbedaan_sudut_pandang,percakapan,peribahasa_untuk_menggambarkan_kutipan_drama,permasalahan_teknologi,pernyataan_yang_sesuai_pada_bagan,pernyataan_yang_sesuai_pada_tabel,pernyataan_yang_sesuai_tabel,persamaan_berita,persamaan_informasi,pertanyaan,pesan_puisi,pesan_singkat,pesan_singkat_pernyataan,pesan_tersirat,petunjuk,pewatakan,pidato,pikiran_utama,pokok_berita,poster,puisi,rangkuman,rangkuman_cerita,rangkuman_kalimat,rangkuman_kutipan_yang_tepat_pada_paragraf,referensi,resensi,rumusan_masalah,sapaan_pidato,saran,saran_dalam_karya_ilmiah,simpulan,simpulan_ilustrasi,simpulan_isi,simpulan_isi_paragraf,simpulan_kalimat,simpulan_karya_ilmiah,simpulan_novel,simpulan_paragraf,simpulan_tajuk,slogan,slogan_pada_ilustrasi,struktur_surat,struktur_teks,sudut_pandang_dalam_cerpen,surat,surat_dinas,surat_pembaca,surat_pribadi,surat_resmi,susunan_kalimat,tabel,tajuk,tajuk_rencana,tanda_baca,teks,teks_berita,teks_berita_yang_tepat,teks_biografi,teks_diskusi,teks_drama,teks_iklan,teks_pidato,teks_procedur,teks_prosedur,teks_prosedural,teks_puisi,teks_ulasan,tema,tema_ilustrasi,tema_karya,tema_puisi,tokoh,tokoh_cerpen,tokoh_dalam_biografi,topik_novel,tujuan_diskusi,ucapan,ulasan,ulasan_berita,ulasan_kalimat,unsur_catatan_harian,unsur_cerita,unsur_cerpen,unsur_drama,urutan,urutan_kalimat,urutan_pernapasan_dada,urutan_petunjuk,watak_dalam_drama,watak_tokoh,watak_tokoh_dalam_cerpen,wawancara
,,,,,,,,,,,,,,,,,,,,cerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kutipan_cerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penokohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tokoh_cerpen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urutan,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,larik,,,,,,,,,,,majas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penggalan_puisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,puisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,larik_puisi,,,,,,,,,majas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,puisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teks_diskusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bacaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalimat,kalimat_efektif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kritikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perbaikan_kalimat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teks_berita,,,,,,,,,,,,,,,,,,,,,,ulasan,,ulasan_kalimat,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teks_prosedural,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teks_prosedural,,,,,,,,,,,,,,,,,,,,,,,,,,,
